Date,Equities,Gold,REITs,Bitcoin
10-11-2016,8525.75,1265.5,54.92656708,715.5339966
15-11-2016,8108.450195,1224,56.09448242,711.6190186
16-11-2016,8111.600098,1223.400024,55.93264771,744.197998
17-11-2016,8079.950195,1216.5,55.36278152,740.9769897
18-11-2016,8074.100098,1208.5,55.52459717,751.585022
21-11-2016,7929.100098,1209.599976,55.35573959,739.2479858
22-11-2016,8002.299805,1211,56.32664871,751.3469849
23-11-2016,8033.299805,1189.099976,56.08742905,744.5939941
25-11-2016,8114.299805,1178.199951,56.41106415,741.6489868
28-11-2016,8126.899902,1190.599976,56.67139053,735.8129883
29-11-2016,8142.149902,1187.900024,57.21311569,735.6040039
30-11-2016,8224.5,1170.800049,56.55883789,745.690979
01-12-2016,8192.900391,1166.900024,55.72860718,756.7739868
02-12-2016,8086.799805,1175.099976,56.28445053,777.9439697
05-12-2016,8128.75,1174,56.69952011,758.7000122
06-12-2016,8143.149902,1167.599976,57.06536484,764.223999
07-12-2016,8102.049805,1175,58.20514297,768.132019
08-12-2016,8246.849609,1169.800049,58.60616302,770.8099976
